,Date,Open,High,Low,Close
1311,2020-01-10,1.11035,1.11284,1.10843,1.11156
1312,2020-01-13,1.11095,1.11462,1.11095,1.11322
1313,2020-01-14,1.11326,1.11437,1.11034,1.11255
1314,2020-01-15,1.11252,1.11627,1.11178,1.11485
1315,2020-01-16,1.11485,1.1172,1.11273,1.11345
1316,2020-01-17,1.11344,1.11418,1.10853,1.10875
1317,2020-01-20,1.10889,1.11017,1.10759,1.10921
1318,2020-01-21,1.10924,1.11173,1.10798,1.10798
1319,2020-01-22,1.10806,1.10976,1.10694,1.10912
1320,2020-01-23,1.10906,1.11079,1.10356,1.10509
1321,2020-01-24,1.10502,1.10608,1.10189,1.10262
1322,2020-01-27,1.10298,1.10368,1.10089,1.10172
1323,2020-01-28,1.10176,1.10244,1.0997,1.10214
1324,2020-01-29,1.10213,1.10269,1.09915,1.10065
1325,2020-01-30,1.10077,1.10386,1.10036,1.10285
1326,2020-01-31,1.10288,1.10949,1.10161,1.10931
1327,2020-02-03,1.1092,1.10924,1.10349,1.10586
1328,2020-02-04,1.10558,1.10633,1.1032,1.10425
1329,2020-02-05,1.10433,1.10471,1.09928,1.09971
1330,2020-02-06,1.09975,1.10131,1.09636,1.09796
1331,2020-02-07,1.09797,1.09842,1.09413,1.09423
